topic,problem_statement,solution,answer_option_1,answer_option_2,answer_option_3,answer_option_4,answer_option_5,correct_option_number
Probability and statistics,"In a certain small town, there are 3 weather forecasters: Alice, Bob, and Carol. Alice is correct 70% of the time, Bob is correct 60% of the time, and Carol is correct 50% of the time. On a particular day, all three forecasters predict rain, but only one of the forecasters will be correct for that day. What is the probability that it will rain considering all their predictions?","To solve this problem, we will calculate the probability that all forecasters are wrong and subtract it from 1. The probability that Alice is wrong is 30%, Bob is wrong is 40%, and Carol is wrong is 50%. So, the probability that all of them are wrong is 0.3*0.4*0.5 = 0.06 or 6%. Therefore, the probability that it will not rain is 6%. Thus, the probability that it will rain is 1 - 0.06 = 0.94 or 94%.",30%,60%,84%,94%,Another answer,5
Classic riddles,"Three people check into a hotel room that costs $30. They each contribute $10, handing $30 to the hotel clerk. Later, the clerk realizes there's a special rate for that room of $25. The clerk gives $5 to the bellhop to return to the guests. Unable to divide the money equally, the bellhop gives $1 back to each guest and keeps the remaining $2 for himself. Now, each guest has paid $9, totaling $27, and the bellhop has $2, making $29. Where is the missing dollar?","There is no missing dollar; the riddle is a fallacy that involves adding amounts that should not be combined. Each guest received $1 back, so they paid $9 each, totaling $27. Out of this $27, $25 went to the hotel clerk for the room and $2 went to the bellhop. The original sum is accounted for: $25 for the room plus $2 for the bellhop equals $27, which is what the guests paid collectively.",The dollar is with the bellhop.,The dollar was overcharged by the hotel.,"There is no missing dollar, it's a fallacy.",The missing dollar does not exist; it's a trick question.,Another answer,3
Sequence solving,"Imagine you encounter a bizarre sequence of numbers where each number depends on the one before it. The sequence begins with the number 2, and the rule to find the next number is to sum the digits of the square of the current number. The beginning of the sequence is as follows: 2, 4, 16, 7, 49, 16, 7... What is the 10th number in the sequence?","The sequence begins with 2. Squaring 2 gives 4, and summing the digits of 4 gives us 4. Square 4 gives 16, and summing its digits gives us 7. Square 7 gives 49, summing its digits gives us 13, which then reduces further by summing the digits to 4. This starts a loop with 4, 16, 7 (since square of 7 is 49, and sum of 4 and 9 again leads to 13 which reduces to 4). The sequence progresses as 2, 4, 16, 7, 13, 4, 16, 7, 13, 4... The 10th number, therefore, is 4.",2,7,13,4,Another answer,3
Optimization of actions and planning,"You have to complete three tasks at work. Task A will take an hour to complete, but can only be performed in the morning. Task B will also take an hour and can be done at any time. Task C takes two hours and must be done in the afternoon. Your workday is 8 hours long starting at 8:00 am and ending at 4:00 pm, with a one-hour lunch break from 12:00 pm to 1:00 pm. In what order should you complete the tasks to maximize the amount of free time you have at the end of the day before 4:00 pm?","To maximize your free time at the end of the day, you need to take into account both the time constraints of tasks A and C, and the fixed time for your lunch break. The optimal schedule would be to start with task A from 8:00 am to 9:00 am, since it must be done in the morning. Then, you can complete task B from 9:00 am to 10:00 am, since it can be done at any time. You take your lunch break from 12:00 pm to 1:00 pm. Finally, you perform task C from 1:00 pm to 3:00 pm in the afternoon as required. This schedule leaves you with one hour of free time from 3:00 pm to 4:00 pm before the end of the workday.","A, B, Lunch, C","B, A, Lunch, C","C, Lunch, A, B","Lunch, A, B, C",Another answer,1
Probability and statistics,"You have two coins in your pocket. One is a regular coin with heads and tails, while the other coin has heads on both sides. You pick one coin at random and flip it three times, getting heads each time. What is the probability that you chose the regular coin?","Let's denote H as the event of getting heads and R as the event of choosing the regular coin. We want to calculate the conditional probability P(R|HHH). By Bayes' theorem, P(R|HHH) = (P(HHH|R) * P(R)) / P(HHH). Here, P(HHH|R) = (1/2)^3, since there's a 1/2 chance to get heads on each flip for the regular coin. P(R) = 1/2, the probability of choosing the regular coin in the first place. P(HHH), the probability of getting three heads in a row, can be found by considering both cases: choosing the regular coin or the double-headed coin. P(HHH|R) * P(R) + P(HHH|double-headed coin) * P(double-headed coin) = (1/8)*(1/2) + (1)*(1/2) = 1/16 + 1/2 = 9/16. Thus, P(R|HHH) = ((1/8)*(1/2))/(9/16) = (1/16)/(9/16) = 1/9. So the probability that you chose the regular coin after flipping heads three times is 1/9.",1/2,1/3,1/8,1/9,Another answer,4
Spatial reasoning,In a room there are 4 switches. Each switch can be turned on or off. There is a light bulb in a sealed box that is opaque and you cannot see inside it. Only one switch is connected to the light bulb. You begin with all the switches in the off position. You can perform the following actions: (1) Toggle any switches you desire. (2) Open the box to inspect the light bulb-status but once opened you cannot toggle the switches again. How do you determine which switch is connected to the light bulb with only one inspection?,"First, turn on switch 1 and leave it on for a few minutes. Then turn it off and quickly turn on switch 2. Now, open the box to see the light bulb. If the bulb is lit, then switch 2 controls the bulb. If the bulb is off but warm, then switch 1 controls the bulb. If the bulb is off and cold, then it is either switch 3 or switch 4 that controls the bulb. Since you can only open the box once, you cannot determine between switches 3 and 4 with this method. However, since the puzzle doesn't allow for indeterminate answers, assume that the design of the puzzle accounts for this and it will either be switch 1 or 2 that is connected to the bulb based on the prescribed method.",Switch 1,Switch 2,Switch 3,Switch 4,Another answer,5
Classic riddles,"The more you take, the more you leave behind. What am I?","The answer to the riddle is 'footsteps.' When a person walks, they take steps leaving footprints behind which are referred to as footsteps.",Time,Sand,Footsteps,Memories,Another answer,3
Spatial reasoning,"You enter a room with four statues, each facing in a different cardinal direction: North, East, South, and West. Each statue is pointing to another statue. The statue facing North points to the one facing East. The statue facing East points to the one facing South. The statue facing South points to the one facing West. The statue facing West points, unexpectedly, not to the North one but to the East one. If you were to stand behind the statue facing South, face the same direction it faces, and walk straight ahead, which statue would you reach first?","If you stand behind the South-facing statue and walk straight ahead in the same direction it is facing, you would reach the North-facing statue first. The statues create a loop with their pointing, but walking the direction the South-facing statue points would take you directly opposite to it, where the North-facing statue is.",East-facing statue,West-facing statue,North-facing statue,South-facing statue,Another answer,3
Spatial reasoning,"Imagine a 3-dimensional cube. Each edge of this cube is painted red, green, or blue. Every edge must be painted a different color than its directly connected edges (edges sharing the same vertex). If the cube has 12 edges total, what is the minimum number of colors needed to satisfy this painting condition?","The minimum number of colors needed is 3. You can paint the edges of the cube in a pattern such that no two edges that share a vertex will have the same color. To visualize this, imagine looking at a corner of the cube. The three edges meeting at that corner can each have a unique color. Then, you can paint the opposite edges of the cube the same color as the ones you are looking at. This way, no two connected edges share a color, satisfying the condition with just 3 colors.",2,3,4,6,Another answer,3
Spatial reasoning,"A builder has a set of 5 differently shaped blocks: a cube, a sphere, a pyramid, a cylinder, and a cone. He places all of them in a row but notices that when viewed from the top, three particular shapes align perfectly such that their top surfaces form a straight line. Which three shapes are these and in what order do they appear in the row? Note that the cylinder's height is twice its diameter, the cone's height is equal to the diameter of its base, and the cube side length is equal to the diameter of the sphere.","The top view alignment considering the dimensions given: Cylinder - Cube - Cone. These shapes align perfectly because, from the top view, the cylinder will appear as a circle, which is the same shape as viewed from the top of the cube (due to its equal length sides) and the cone which also appears as a circle from the top. The order matters because the cylinder's height is twice its diameter, so its base circle's diameter matches that of the cube and cone, which are equivalent by the given conditions.",Cylinder - Sphere - Pyramid,Sphere - Cube - Cylinder,Cylinder - Cube - Cone,Pyramid - Sphere - Cone,Another answer,5
Operation of mechanisms,"You are presented with a box that has three levers. Each lever can be either in an up or down position. The box will open only when a specific combination of levers' positions is achieved. You know from a previous user that: 1) Moving the first lever changes the second lever's position. 2) Moving the second lever changes the third lever's position. 3) Moving the third lever changes the first and second levers' positions. If the initial state is all levers up, and you need to get all levers down to open the box, what is the fewest number of moves you need to make to open the box, and which levers should you move?","To open the box in the fewest moves, you should follow these steps: Move lever 2 (this will get levers 2 and 3 down), then move lever 3 (this leaves only lever 1 up). Now, move lever 1 (which will move levers 1 and 2 down, while lever 3 stays down). So, the total moves are 3, and the order is lever 2, lever 3, and lever 1.","3 moves: lever 2, lever 3, lever 1","4 moves: lever 1, lever 2, lever 3, lever 2","2 moves: lever 3, lever 2","5 moves: lever 1, lever 2, lever 1, lever 3, lever 2",Another answer,3
Classic riddles,"You come across two doors, one leads to the City of Truth, where inhabitants always tell the truth, and the other to the City of Lies, where inhabitants always lie. Each door is guarded by a sentinel. You can ask one sentinel one question to determine which door leads to the City of Truth. However, you don't know which sentinel is guarding which door. What question can you ask to find the right door?","You should ask either sentinel the following question: 'If I were to ask the other sentinel which door leads to the City of Truth, what would they say?' The guard from the City of Lies would point to the door leading to the City of Lies, because the other sentinel (from the City of Truth) would truthfully point to the City of Truth, and the lying sentinel would falsely indicate the opposite. The guard from the City of Truth would also point to the door leading to the City of Lies, because they would truthfully say that the lying sentinel would point you to the incorrect, City of Lies door. So whichever door is indicated, you should choose the opposite door.",Ask 'Which door would the other sentinel say leads to the City of Truth?',Ask 'Which door leads to the city you are from?',Ask 'Do you tell the truth?',Ask 'What would you say if I asked which door leads to the City of Truth?',Another answer,1
Operation of mechanisms,"You have a mechanism with three gears in a sequence: A, B, and C. Gear A has 15 teeth and is connected to Gear B which has 30 teeth. Gear C has 45 teeth and is meshed with Gear B. If Gear A rotates at 60 rotations per minute (RPM), how fast does Gear C rotate?","Gear B acts as an intermediate gear and won't affect the overall gear ratio between A and C. The gear ratio is the number of teeth of the driving gear (A) divided by the number of teeth of the driven gear (C). Thus, the gear ratio is 15/45 = 1/3. This means for every rotation of Gear A, Gear C rotates 1/3 of a rotation. Since Gear A rotates at 60 RPM, Gear C rotates at 60 RPM * 1/3 = 20 RPM.",20 RP,180 RPM,30 RPM,60 RPM,Another answer,1
Math problems,"In an auditorium, there are a certain number of seats. If the seats are arranged in rows of 4, there will be 1 seat left over. If the seats are arranged in rows of 5, there will also be 1 seat left over. However, if the seats are arranged in rows of 7, there are no seats left over, and the auditorium is completely filled. There are between 50 and 100 seats in the auditorium. How many seats are there?","The problem can be solved by finding the least common multiple (LCM) of 4 and 5, which is 20, and then adding 1, since in both cases there's one seat left over. This gives us a sequence of numbers to consider: 21, 41, 61, 81, etc. The number also needs to be a multiple of 7, as arranging in rows of 7 leaves no seat left over. The first number in our sequence that is a multiple of 7 is 61 (7 * 8 + 5), which is not divisible by 7, but 81 (7 * 11 + 4) is a multiple of 7 and falls within the specified range. Hence, there are 81 seats in the auditorium.",54,76,81,96,Another answer,5
Functions and Algorithms,"Consider a function f(x) that takes an integer and subtracts 1 if the number is odd, or divides the number by 2 if the number is even. Starting with the number 23, you apply the function repeatedly until you reach the number 1. How many times do you apply the function?","Starting with the number 23 (odd), you subtract 1 to get 22 (even), and then divide by 2 to get 11 (odd). You apply the function as follows: 
23 (odd) -> 22 
22 (even) -> 11 
11 (odd) -> 10 
10 (even) -> 5 
5 (odd) -> 4 
4 (even) -> 2 
2 (even) -> 1. 
So the function is applied 7 times in total.",5,6,7,8,Another answer,3
Math problems,Sarah is thinking of two consecutive numbers. The product of these two numbers is 272. What are the two numbers?,"To find two consecutive numbers whose product is 272, factorize 272. The factors of 272 that are consecutive numbers are 16 and 17 since 16 * 17 = 272.",16 and 17,13 and 20,14 and 19,18 and 15,Another answer,1
Lateral thinking,"A man goes to bed, and he turns off the light causing lots of people to panic. Where is the man, and why did turning off the light cause panic?","The man is a lighthouse keeper, and by turning off the light in the lighthouse, he caused panic among the ships close to the shore as they might run aground or collide without the guidance of the lighthouse.","The man is at home, and a power outage caused the panic.","The man is in an office, and the light signaled the end of a sale.","The man is in a submarine, and turning off the light signaled an emergency.","The man is a lighthouse keeper, and turning off the lighthouse light caused panic among nearby ships.",Another answer,4
Math problems,"You have a numeric keypad with numbers from 1 to 9 arranged in a 3x3 grid: 123 on the top row, 456 in the middle, and 789 on the bottom row. If you can only move to adjacent numbers (horizontally, vertically, or diagonally) to form a five-digit number, and the center number 5 must be used as the third digit, how many unique five-digit numbers can you form?","To find the number of unique five-digit numbers with the given constraints, we need to consider the moves from each number. Starting with the 1st digit, any number can be chosen, so we have 9 options. For the 2nd digit, we must move to an adjacent number, which gives us at most 8 options (since all numbers except 5 have at most 8 adjacent numbers). The 3rd digit must be 5, as given in the problem. For the 4th digit, again we can move to any of the numbers adjacent to 5, giving us 8 options. The 5th digit will similarly have 8 options as maximum, because we can move to an adjacent number from the 4th one. Hence, the total number of combinations we can form is 9 (choices for 1st digit) * 8 (choices for 2nd digit) * 1 (fixed 3rd digit) * 8 (choices for 4th digit) * 8 (choices for 5th digit) = 9 * 8 * 1 * 8 * 8 = 4608.",1024,4608,5670,4096,Another answer,5
Probability and statistics,"In a school, there are 11 basketball players and 16 soccer players. Out of these athletes, a statistician notices that 4 play both basketball and soccer. A random athlete is selected to be interviewed for the school newsletter. What is the probability that the athlete selected plays only basketball?",Total athletes = 11 basketball players + 16 soccer players - 4 who play both = 23. Athletes playing only basketball = 11 basketball players - 4 who play both = 7. Probability = Number of athletes playing only basketball / Total athletes = 7 / 23.,7/27,4/23,7/23,11/16,Another answer,3
Math problems,"Three friends order a pizza that is sliced into 8 equal pieces. They eat it in the following way: Alan eats a slice every 5 minutes, Betty eats a slice every 8 minutes, and Charlie eats a slice every 12 minutes. If they start eating at the same time, who will eat the last slice of pizza?","Alan eats slices at minutes 5, 10, 15, and 20. Betty eats slices at minutes 8 and 16. Charlie eats a slice at minute 12. After 20 minutes, 7 slices have been eaten. The next person to eat will do so at minute 24, which is Charlie's turn. Therefore, Charlie eats the last slice of pizza.",Alan,Betty,Charlie,They will finish at the same time,Another answer,1
Sequence solving,"If the following sequence of numbers follows a specific rule: 3, 5, 9, 17, 33, what would be the next number in the sequence?","Each number in the sequence is one more than twice the previous number. For example, the second number, 5, is (2 * 3) + 1. The third number, 9, is (2 * 5) + 1. Following this pattern, to find the next number after 33, you would calculate (2 * 33) + 1, which equals 67.",65,66,67,68,Another answer,1
Math problems,"If you multiply a number by 3 and then subtract 2, you get 19. What is the original number?","Let the original number be x. The equation is 3x - 2 = 19. Adding 2 to both sides gives us 3x = 21. Dividing both sides by 3 gives us x = 7. Therefore, the original number is 7.",5,6,7,8,Another answer,3
Spatial reasoning,"Imagine a cube that is painted red on all its faces and is then cut into 27 identical smaller cubes. These smaller cubes are mixed up with identical cubes of the same size that have never been painted. If the ratio of painted to unpainted smaller cubes is 2:1, how many of the smaller cubes have exactly two red faces exposed?","The original large cube, once cut into 27 smaller cubes, will have smaller cubes with different numbers of painted faces: the eight corner cubes will have three red faces, the twelve edge cubes will have two red faces, and the six face cubes will have one red face. The one remaining middle cube, which was at the center of the larger cube, will have no red faces. Since the ratio of painted cubes to unpainted cubes is 2:1, there must be 54 painted cubes in total (27 painted, 27 unpainted). We know that there can only be 12 cubes with exactly two red faces (the edge cubes), regardless of how many unpainted cubes there are. Therefore, the answer is 12.",8,12,18,27,Another answer,2
Probability and statistics,"You have three boxes with two drawers each. Box A contains two gold coins, Box B contains two silver coins, and Box C contains one gold coin and one silver coin. Each box is labeled according to its contents, but you know all of the boxes are mislabeled. You are allowed to draw one coin from one of the drawers in one of the boxes. After drawing one coin, you must correctly label all the boxes. Which box should you draw from, and which label would ensure you can correctly label the boxes?","You should draw from the box labeled 'Gold and Silver'. If you draw a gold coin, this box must be the all-gold box, because it can't be the Gold and Silver box (as it's mislabeled), and it can't be the all-silver box. Therefore, the box labeled 'Silver' must contain Gold and Silver (since it cannot contain just silver coins, which means it's mislabeled), and the box labeled 'Gold' must be the all-silver coin box. If you draw a silver coin, the same reasoning applies in reverse.","Draw from the box labeled 'Gold'. If it's gold, label this box 'Gold and Silver'.","Draw from the box labeled 'Silver'. If it's silver, label this box 'Gold and Silver'.","Draw from the box labeled 'Gold and Silver'. If it's gold, label this box 'Gold'.","Draw from the box labeled 'Gold and Silver'. If it's gold, label this box 'Gold', and if it's silver, label this box 'Silver'.",Another answer,4
Spatial reasoning,"You have a 4x4x4 cube made up of 64 smaller 1x1x1 cubes. You paint the entire outer surface of the large cube. After it dries, you take apart the cube and notice that some of the smaller cubes have 0, 1, 2, or 3 painted faces. How many of the smaller cubes have exactly 2 painted faces?","There are 12 edge pieces that have exactly 2 painted faces. To see why, consider that each face of the large cube has 4 edges, for a total of 24 edges on the cube. However, each of the 12 edges of the cube is shared by 2 faces, which means there are 12 distinct edges. Each of those has just one smaller cube with 2 faces painted.",8,12,16,24,Another answer,2
Spatial reasoning,An ant is located at one corner of a 10 x 10 x 10 cube. It needs to crawl to the diagonally opposite corner in the shortest possible path without crossing any of the cube's faces. What is the minimum surface distance the ant must travel?,"To find the shortest route, unfold the cube along its edges to create a 2D cross-shape. Place the original starting corner at the bottom left of the cross, and the destination at the top right. The ant can crawl along two sides in a straight line to reach the opposite corner. On the unfolded cube, this would make a straight line path across two adjacent squares, forming a right-angled triangle with sides 10 units (the squares' sides) and a diagonal (the path) as the hypotenuse. Using Pythagoras' theorem: the shortest path is the square root of (10^2 + 10^2) = sqrt(200) = sqrt(100*2) = 10*sqrt(2) ≈ 14.14 units.",10 units,14.14 units,20 units,28.28 units,Another answer,2
Probability and statistics,"In a small town, there is a forecast that says there is a 30% chance of rain on Saturday and a 20% chance of rain on Sunday. Assuming the chance of rain on each day is independent, what is the probability that it will rain on both Saturday and Sunday?","To find the probability of two independent events both occurring, you multiply the probability of each event. Thus, the probability of it raining on both Saturday and Sunday is 0.30 (Saturday) * 0.20 (Sunday) = 0.06 or 6%.",10%,40%,6%,50%,Another answer,3
Spatial reasoning,"Imagine a cube with sides of equal length. Each face of the cube is painted with a different color: red, blue, green, yellow, purple, and orange. The cube is then cut into 27 equal smaller cubes, each with a side length one third of the original cube. Upon examining the smaller cubes, you find that there are exactly 3 cubes with two faces painted and 1 cube with three faces painted. If you know the red and blue faces were opposites on the original cube, what is the color on the face opposite to the green on the original large cube?","Assuming the red and blue are opposite faces on the cube, and since there is only 1 small cube with three painted faces, which must have been the corner piece of the original cube, it must be adjacent to the red and blue faces. This leaves us to deduce the color on the face opposite to the green one. Since green cannot be on the same corner as red and blue (because then we would have more than one cube with three painted sides), it must be opposite yellow, because the red/blue corner would already have green's pair in the corner (either yellow or purple). Therefore, purple must be next to red on one side and blue on the other, and the opposite of green must be yellow.",Yellow,Purple,Orange,Red,Another answer,5
Probability and statistics,"In a bag, there are 3 red balls and 7 blue balls. Two balls are drawn randomly one after the other without replacement. What is the probability of drawing a red ball followed by a blue ball?","The probability of drawing a red ball first is 3/10. After drawing one red ball, there are 2 red balls and 7 blue balls left. The probability of then drawing a blue ball is 7/9. Therefore, the total probability is the product of the two individual probabilities: (3/10) * (7/9) = 21/90, which simplifies to 7/30.",1/3,7/30,1/2,3/10,Another answer,2
Math problems,"Alice, Bob, and Charlie order a circular pizza that is cut into 12 equal slices. Alice eats 3 slices, Bob eats twice as many slices as Alice, and Charlie eats the remaining slices. If they order another identical pizza, how many slices will there be left if each of them eats the same number of slices as before, but in reverse order (Charlie first, then Bob, then Alice)?","Initially, Alice ate 3 slices, Bob ate twice that amount which is 6 slices, and Charlie ate the remaining slices which is 12 - 3 - 6 = 3 slices. For the second pizza, Charlie eats first and consumes 3 slices. Now, there are 9 slices left. Bob eats next and will eat 6 slices as before, leaving 9 - 6 = 3 slices. Finally, Alice eats her 3 slices. Therefore, there will be 0 slices left.",0 slices,3 slices,6 slices,9 slices,Another answer,1
Spatial reasoning,"You have a 10x10x10 cube made up of 1x1x1 small cubes and you have painted the entire outer surface of the large cube. Now, if you break the cube into its individual 1x1x1 cubes, how many small cubes will have no paint on them?","The large cube, when separated into individual cubes, will consist of the cubes which are on the faces and the cubes which are entirely inside. The painted cubes are only on the surface, which are the outer layers. The inner cube, which will be entirely unpainted, is going to be an 8x8x8 cube, since one layer of cubes on each side is removed (10 - 2 layers). 8x8x8 equals 512 cubes, so there will be 512 small cubes with no paint on them.",488,512,672,1000,Another answer,2
Operation of mechanisms,"You have three gear wheels in a mechanism. Gear A has 6 teeth, Gear B has 8 teeth, and Gear C has 14 teeth. Gear A is connected directly to Gear B, but Gear B is NOT directly connected to Gear C. Instead, there's a chain running from Gear B to Gear C, so they rotate in the same direction. If Gear A rotates clockwise at a speed of 60 rotations per minute (RPM), how many RPM does Gear C have?","Gear A and Gear B are in direct contact, so the rotation of A will influence B inversely. The teeth ratio is 6:8 or 3:4. For every 3 rotations of Gear A, Gear B will rotate 4 times. Gear B rotates in the same direction as Gear C because of the chain, so their RPM is the same. Since Gear A rotates at 60 RPM, Gear B, and therefore Gear C, will rotate at (60 * 4) / 3 = 80 RPM.",60,80,100,120,Another answer,2
Optimization of actions and planning,"You are preparing a meal and have four tasks: chopping vegetables (takes 10 minutes), boiling water (takes 15 minutes to reach boiling point), cooking pasta (12 minutes once the water is boiling), and preparing sauce (8 minutes). You can do tasks sequentially or simultaneously but you have only two burners on your stove which can be used either to boil water or cook the sauce and you cannot cook pasta until the water has boiled. You also have just one knife for chopping vegetables, and cannot chop while attending to the stove. What is the shortest time in which you can complete all four tasks?","Start by boiling water. While the water is boiling, use this time to chop vegetables. This takes the first 15 minutes. Once the water is boiled, start cooking the pasta and simultaneously prepare the sauce on the second burner, which takes an additional 12 minutes. So, a total of 27 minutes is required to complete all tasks.",25 minutes,27 minutes,30 minutes,35 minutes,Another answer,5
Probability and statistics,"You have a deck of 52 playing cards which you shuffle thoroughly. Without looking, you draw four cards from the top of the deck. What is the probability that you draw exactly two hearts, given that you know there are no duplicates in the hearts you draw?","The number of ways to draw 2 hearts out of 13 is C(13, 2) = 13! / (2! * (13-2)!) = 78. The number of ways to draw 2 non-hearts out of the remaining 39 cards is C(39, 2) = 39! / (2! * (39-2)!) = 741. The total number of ways to draw any 4 cards out of 52 is C(52, 4) = 52! / (4! * (52-4)!) = 270725. Therefore, the probability is (78 * 741) / 270725 = 57858 / 270725 ≈ 0.2139 or 21.39%.",13.85%,21.39%,26.47%,33.33%,Another answer,2
Operation of mechanisms,"In a certain mechanical workshop, there are three machines that can only operate one at a time due to limited electrical capacity. Machine A takes 3 hours to complete its job. Machine B takes 4 hours, and Machine C takes 6 hours. They all need to complete one job each. The workshop operates an 8-hour workday. If only one machine can operate at any given time and no machine can be stopped mid-operation, what is the maximum number of full days needed to complete all three jobs?","Machine A takes 3 hours, B takes 4 hours, and C takes 6 hours. In an 8-hour workday, you can run A and B on the first day (3+4 = 7 hours). On the second day, you can run machine C for 6 hours. Thus, the maximum number of full days needed to complete all jobs without breaking any machine's operation midway is 2 full days.",1 day,2 days,3 days,4 days,Another answer,2
Sequence solving,"In a certain number sequence, each number is the product of the two preceding numbers minus the number that came before those. If the sequence starts with 2, 3, what are the next two numbers in the sequence?","The sequence begins with 2, 3. The next number is (2 * 3) - 2 = 4. Now we have 3, 4. The subsequent number is (3 * 4) - 3 = 9. Thus, the next two numbers in the sequence are 4 and 9.",5 and 11,4 and 10,4 and 9,6 and 13,Another answer,3
Logical traps,"You have two jars with 50 white beans and 50 black beans, respectively. In a dark room where you cannot see the colors of the beans, you are allowed to redistribute the beans as you like, as long as all the beans are in the jars at the end. Once you exit the room, you must draw a bean from a jar of your choosing with the aim to maximize the probability of drawing a white bean. How should you redistribute the beans and which jar should you draw from to maximize the chance of drawing a white bean?","Place one white bean in one jar and all the other beans (49 white and 50 black beans) in the other jar. By doing this, in the first jar, you have a guaranteed chance (100%) of drawing a white bean. Choosing the first jar with one bean gives you the maximum probability of drawing a white bean.",Put all beans in one jar,"Put all white beans in one jar, and all black beans in another",Put one white bean in one jar and the rest in the other,Put an equal number of white and black beans in each jar,Another answer,3
Logical traps,"A logician visits an island where all inhabitants are either knights, who always tell the truth, or knaves, who always lie. The logician meets three inhabitants: Alice, Bob, and Charles. Alice says, 'Bob is a knave.' Bob says, 'Alice and Charles are of the same type.' Charles says, 'Alice is a knight.' Can you determine who is a knight and who is a knave?","If Bob were a knight, then Alice and Charles would be of the same type, which would make both statements by Alice and Charles true, contradicting the fact that there should be at least one knave among them. Thus, Bob is a knave. Since Bob is a knave and his statement is a lie, Alice and Charles cannot be of the same type. Since Charles says that Alice is a knight, and they cannot both be knights, it follows that Charles is lying. Charles, therefore, must be a knave and Alice must be the knight, as Charles's false statement implies the opposite of the truth.","Alice is a knight, Bob is a knave, Charles is a knight","Alice is a knight, Bob is a knave, Charles is a knave","Alice is a knave, Bob is a knight, Charles is a knave","Alice is a knave, Bob is a knave, Charles is a knight",Another answer,2
Math problems,"You have a 7-minute hourglass and an 11-minute hourglass. You want to measure exactly 15 minutes. Using these two hourglasses, how can you measure 15 minutes from the time you start?","Start both the 7-minute and the 11-minute hourglasses at the same time. When the 7-minute hourglass runs out, turn it over immediately. The 11-minute hourglass now has 4 minutes remaining. When the 11-minute hourglass runs out, turn it over immediately. Since the 7-minute hourglass was turned over with 4 minutes left moment ago, it now has 3 minutes remaining. Once the 7-minute hourglass runs out this time, a total of 15 minutes will have passed: 11 minutes from the first use of the 11-minute hourglass and 4 minutes from the second use of the 7-minute hourglass.","Start the 7-minute hourglass first, and when it finishes, start the 11-minute hourglass.","Start both hourglasses together and when the 7-minute runs out, flip it; when the 11-minute runs out, flip it and use the remaining time on the 7-minute hourglass.",Use the 11-minute hourglass twice.,Use the 7-minute hourglass twice and add an extra minute somehow.,Another answer,2
Sequence solving,"If the sequence of numbers is 4, 9, 19, 34, 54, what is the next number in the sequence?","The sequence follows a pattern where each number is the result of the square of its position in the sequence plus 1 (position starts with 1). So, the 1st number is 1^2+1=2, the 2nd is 2^2+1=5, the 3rd is 3^2+1=10, the 4th is 4^2+1=17, and the 5th is 5^2+1=26. However, there's an additional rule which then subtracts the position number from the result. So, 2-1=1 (not in the sequence), 5-2=3, 10-3=7, 17-4=13, and 26-5=21. The next number's position is 6, so we calculate 6^2+1=37 and then subtract 6 to get 31.",49,31,79,121,Another answer,3
Probability and statistics,A box contains 6 red balls and 4 green balls. Three balls are drawn randomly one after another without replacement. What is the probability of drawing 2 red balls followed by 1 green ball?,"The probability of drawing the first red ball is 6/10. After drawing one red ball, there are 5 red balls and 4 green balls left, so the probability of drawing another red ball is 5/9. After drawing two red balls, there are 4 red balls and 4 green balls left, so the probability of drawing a green ball is 4/8 or 1/2. The combined probability is (6/10) * (5/9) * (1/2) = 30/180 = 1/6.",1/12,1/6,1/8,1/4,Another answer,2
Lateral thinking,"There's a cabin on the side of a mountain which has become infamous as 'The Cabin of Passages,' rumored to have the power of teleportation. Many who have gone in have never been seen again. A group of four adventurous friends decide to visit this cabin. As they step inside, they notice there are no unusual objects—just an old wooden table with a candle, two chairs, a mirror hanging on a wall and a small wooden owl statue. After some time, they all walk out of the cabin safely without any supernatural occurrence. What did the friends do differently than those who disappeared?","The key to this puzzle is to think laterally and ignore specific descriptions that may lead you to consider supernatural explanations. The solution lies in the word 'passages'. When the friends enter the cabin, they keep note of the entries and exits. Instead of looking for a hidden passage or trapdoor, they simply walk back out the way they came in, something that those who disappeared perhaps did not do because they got lost looking for hidden passages inside the cabin.",They used the mirror to signal for help.,"They placed the owl statue on the table, unlocking a secret exit.",They extinguished the candle to reveal a secret message.,They walked back out the same way they came in.,Another answer,4
Lateral thinking,A man is found hanging in a room with a puddle of water under his feet and nothing else in the room but a saw. The room has only one door and it is locked from the inside. The man left no message and there's no trace of a struggle. How did the man hang himself?,"The man stood on a block of ice and put the noose around his neck. As time went by, the ice melted, creating the puddle of water under his feet, and leaving him hanging.",He climbed on a block of ice which later melted.,He jumped from a height.,He had an accomplice who escaped.,The man used magic.,Another answer,1
